mse_decoded,psnr_decoded,ssim_decoded,mse_enhanced,psnr_enhanced,ssim_enhanced,mse_improvement,psnr_improvement,ssim_improvement,image_idx,q_y,q_c
6.764901457630296,39.82818886130735,0.9732872946963557,8.122171007920885,39.03408231782033,0.9540601820370108,-1.3572695502905887,-0.7941065434870254,-0.019227112659344847,0,1,2
6.213789438429571,40.197238282794174,0.9916720855441036,8.165199686953194,39.01113550621748,0.9602084772520466,-1.951410248523623,-1.1861027765766963,-0.031463608292056966,1,1,2
6.70160248523622,39.869016973788675,0.9895220590293486,9.772144082575615,38.23090499188879,0.9528531657215131,-3.0705415973393944,-1.6381119818998826,-0.036668893307835515,2,1,2
7.079684131280465,39.63066479322503,0.986464098469722,19.46101378440976,35.23914900603255,0.9436140125003002,-12.381329653129296,-4.391515787192482,-0.04285008596942186,3,1,2
6.378034532792776,40.08393494540344,0.9888028986961589,12.755930533097425,37.07368215393775,0.9019039651978983,-6.377896000304649,-3.010252791465689,-0.08689893349826061,4,1,2
6.881684467175978,39.753856050075655,0.9881216572207044,12.999784450771779,36.99144209531572,0.9441331514150993,-6.118099983595801,-2.7624139547599356,-0.043988505805605094,5,1,2
5.874033812179728,40.44143918783136,0.990222763863438,16.184309236736034,36.03986192876973,0.9390307149210066,-10.310275424556306,-4.401577259061625,-0.051192048942431345,6,1,2
6.176012666385452,40.223721828446884,0.9952959188000351,23.298362484962816,34.457549629636084,0.9798101570332457,-17.122349818577362,-5.7661721988108,-0.015485761766789397,7,1,2
6.145086478448007,40.245523618718806,0.9893432155506999,8.805751331864768,38.68313943737567,0.9747611336881478,-2.660664853416761,-1.562384181343134,-0.014582081862552165,8,1,2
6.188585313554555,40.21488978525525,0.9668326993151255,18.84962695092801,35.37777601273399,0.8954437957347531,-12.661041637373454,-4.837113772521263,-0.07138890358037242,9,1,2
6.8533486536839145,39.77177534417601,0.9945438783224928,19.091584133038058,35.32238395193285,0.9619336472239665,-12.238235479354143,-4.449391392243157,-0.03261023109852634,10,1,2
6.930413727580928,39.723211992370416,0.9933177657292629,14.4108091224925,36.54391995073453,0.9583027946878543,-7.4803953949115725,-3.1792920416358896,-0.035014971041408605,11,1,2
6.968640028394888,39.69932329655438,0.9959617934142123,18.367861488017123,35.490217651509376,0.9626571512489958,-11.399221459622236,-4.209105645045007,-0.03330464216521656,12,1,2
6.6712836432555305,39.88870954905487,0.9887454602657213,17.72882869621766,35.644003171774806,0.9575220706725348,-11.05754505296213,-4.2447063772800675,-0.03122338959318649,13,1,2
6.554274709801899,39.96555720823257,0.9914613929133514,12.538662281472629,37.14829155694143,0.978058201897993,-5.984387571670729,-2.8172656512911374,-0.013403191015358473,14,1,2
6.726562744110112,39.852871633013734,0.9941985412453217,11.802535303204287,37.41105052720866,0.9625098857800477,-5.0759725590941756,-2.441821105805076,-0.031688655465273996,15,1,2
6.033003442929009,40.325467877072086,0.9944076638526888,10.857241599682853,37.77360858837998,0.9704146734428418,-4.824238156753844,-2.551859288692107,-0.023992990409846926,16,1,2
5.907682194022622,40.41663236634004,0.9620301686260789,27.600563967589988,33.72162404690013,0.9337001914660846,-21.692881773567365,-6.695008319439907,-0.028329977159994302,17,1,2
7.114320304688476,39.609469465422954,0.9892151537593142,14.429732416260467,36.53822083219947,0.9495802913947005,-7.315412111571991,-3.071248633223483,-0.03963486236461378,18,1,2
6.999423167807149,39.680181101908964,0.9926325703150584,27.2102650986986,33.78347587910603,0.9387061628406047,-20.21084193089145,-5.896705222802936,-0.05392640747445365,19,1,2
4.218939917666542,41.87877020271921,0.9954837738844731,11.421967517732158,37.55339440102171,0.9728947218287445,-7.203027600065616,-4.325375801697497,-0.022589052055728587,20,1,2
6.167659706599175,40.22959956853404,0.9732327012569911,15.316309460340895,36.27926228344997,0.9349095417863369,-9.148649753741719,-3.950337285084075,-0.03832315947065423,21,1,2
7.011833847917448,39.67248744345688,0.9945396708000116,21.11839084079334,34.884195377063435,0.9546192184941725,-14.106556992875891,-4.788292066393446,-0.03992045230583907,22,1,2
6.953452595769279,39.708798626130275,0.9883928427067202,9.157161995375578,38.5131946369812,0.9659597040971732,-2.203709399606299,-1.1956039891490775,-0.022433138609546988,23,1,2
6.828832675212474,39.78733889403303,0.9900577412058295,11.647629861696975,37.468427996867796,0.9686105544769902,-4.818797186484502,-2.3189108971652317,-0.021447186728839274,24,1,2
6.8556864962192225,39.770294113569506,0.9806818365747046,7.55819877984002,39.346620512371125,0.9625595174147993,-0.7025122836207975,-0.4236736011983808,-0.018122319159905365,25,1,2
