mse,psnr,ssim,L_dc_bits,L_ac_bits,L_total_bits,bpp,compression_ratio,entropy_dc,entropy_ac,entropy_bpp_est,num_dc_symbols,num_ac_symbols,image_idx,q_y,q_c
6.690879704490063,39.87597139110704,0.9738829775422388,851008,16375511,17226519,6.307751203951069,3.8048425221601647,6.620121507841322,4.706675040948925,6.2519980557357195,128016,3447609,0,1,1.6
6.282646187781215,40.149377581026116,0.9915277638796742,705591,14475358,15180949,5.558734723589239,4.3175292927998115,5.469391591993553,5.493039121916342,5.531870211262582,128016,2622849,1,1,1.6
6.704833160503375,39.866923852983746,0.9895030316727652,747151,16012271,16759422,6.136716553008998,3.9108861868863976,5.809535012484381,4.99746542970717,6.092580783637405,128016,3180647,2,1,1.6
6.98204362638264,39.690978027492385,0.9867961946373552,955367,25033547,25988914,9.516235031167978,2.522005806014057,7.433808713422516,5.3020176395984855,9.475709836084361,128016,4701341,3,1,1.6
6.478224523692351,40.01624365061787,0.9886230630574628,772596,16373463,17146059,6.278289554625984,3.8226972157275325,6.012197060586685,5.219053234068715,6.250600951753357,128016,3123322,4,1,1.6
6.872106562851519,39.759904755715624,0.9881650061336931,962868,19749207,20712075,7.5840403982705284,3.164540105228472,7.491233011173939,5.4035134440122725,7.553940661306193,128016,3640386,5,1,1.6
5.957765411159542,40.3799696213066,0.9900126733981653,663629,17911440,18575069,6.801543239712223,3.528610956976795,5.1589536350815575,5.884818139987067,6.766055398953648,128016,3027744,6,1,1.6
5.993686214027934,40.35386358174751,0.9953734088670764,1106628,40800318,41906946,15.34486387443757,1.5640412450957415,8.611923203071763,5.909586373598605,15.269149697856617,128016,6869805,7,1,1.6
6.227666487978065,40.18755014246892,0.9891675334176045,700596,11981992,12682588,4.643921951162355,5.168045512477422,5.44147277840948,5.2202381842321035,4.619056863496814,128016,2283054,8,1,1.6
6.056946006749157,40.30826658605535,0.9672063112509127,987951,25849743,26837694,9.82702870149044,2.442243808279504,7.688897806831178,5.2130729557742,9.779144847941497,128016,4934253,9,1,1.6
6.773538561586052,39.82264753292508,0.9947275095569665,961339,27230602,28191941,10.32290678020716,2.3249265454975236,7.4822728343833855,5.7142873456158885,10.293972499755448,128016,4752136,10,1,1.6
6.845818100862393,39.7765500548195,0.9936077464274821,927577,23528031,24455608,8.95479178383952,2.6801293183960095,7.21752336818747,5.444098572981316,8.921050230643802,128016,4305488,11,1,1.6
6.8930557264326335,39.74668571335807,0.9961041867110548,952631,26009541,26962172,9.872608209130108,2.4309685436321673,7.414961147384674,5.907988009753473,9.836398120309056,128016,4386273,12,1,1.6
6.62411925071866,39.91952218633523,0.9888050332653808,1029940,24719968,25749908,9.428719359298837,2.545414608859962,8.017457042093465,5.871545747431936,9.397762680475182,128016,4196340,13,1,1.6
6.6163149284073866,39.92464191951233,0.9912748828603783,789216,17150321,17939537,6.568833558891076,3.6536167014789735,6.130144049207159,5.834318703519534,6.530311723374704,128016,2922291,14,1,1.6
6.67556789776278,39.885921433595946,0.9943743186234385,875627,20507095,21382722,7.829607968925759,3.065287571900341,6.803364280447217,5.542656581335443,7.801762389020259,128016,3686993,15,1,1.6
6.039400714559117,40.32086514841589,0.9943998087871787,681688,15203034,15884722,5.81643188156168,4.126241050992268,5.2996905244923225,5.621603732974684,5.793041239774428,128016,2693608,16,1,1.6
5.800348808937946,40.4962624984945,0.9614713803658788,1120277,36079583,37199860,13.621292943850769,1.761947276145663,8.723787713818878,5.952761361805982,13.557385819714325,128016,6032250,17,1,1.6
7.085652745555243,39.62700496300697,0.9893323430952762,814133,23114632,23928765,8.761880228838583,2.739138104285783,6.329583015007407,5.43615130362631,8.728085461388481,128016,4235751,18,1,1.6
6.908016380764904,39.73727002142239,0.9928088647524591,963685,29640289,30603974,11.206109246109861,2.141688919223366,7.501623350109606,5.9479188274393735,11.14447049394395,128016,4955567,19,1,1.6
4.159225824311024,41.94067859933213,0.9955815099070545,874145,19055713,19929858,7.297619779949382,3.288743552513018,6.794140879307533,5.721805727262144,7.275814565271775,128016,3320726,20,1,1.6
6.088885129593176,40.285425799574824,0.9733656020966013,900820,25202578,26103398,9.558155084130108,2.510944820287382,7.010563537778237,5.552238085299261,9.531203183658635,128016,4526522,21,1,1.6
6.895694312624984,39.745023599774015,0.9947982490895426,962925,28355815,29318740,10.735501324053244,2.2355732886201793,7.49166011871983,5.838097759752722,10.69654977332328,128016,4839472,22,1,1.6
6.8816394288604545,39.75388447328513,0.9888940162753398,783334,18585730,19369064,7.092276551368579,3.3839627975827846,6.088245058816315,5.113982824654509,7.055594554964931,128016,3615478,23,1,1.6
6.792149638521748,39.810731155418495,0.990198124034564,918304,18486326,19404630,7.105299581692913,3.377760462322652,7.143977188509664,5.600018781931725,7.0743629877303915,128016,3286703,24,1,1.6
6.848738268068054,39.77469791373699,0.9810583388196165,759686,16321946,17081632,6.254698631421072,3.837115329495449,5.908340438702476,4.942445600587597,6.206765047039279,128016,3276589,25,1,1.6
7.231336195280277,39.53861807885968,0.9926860847258144,1021252,26366897,27388149,10.028586148411136,2.39315888050704,7.950439047220881,5.716005615885361,9.989877292807185,128016,4594931,26,1,1.6
6.820729928290214,39.792495071988576,0.9934298426599835,983974,23524985,24508959,8.974327061656355,2.6742952240443993,7.658644403202088,5.817161780731521,8.938567494282575,128016,4027887,27,1,1.6
5.499679849589114,40.727429520288794,0.9673097228307636,837317,18325120,19162437,7.016616941437008,3.4204517932661695,6.508734990456859,5.34216324258915,6.9822043911151015,128016,3413455,28,1,1.6
3.0443214861814147,43.295898480182956,0.9928505487122011,560146,11863858,12424004,4.549237497656543,5.275609376816041,4.352394632533624,4.839196009330042,4.517671564024579,128016,2434417,29,1,1.6
6.468709965941757,40.02262681518243,0.9834757032049227,900706,16194094,17094800,6.259520294338207,3.8341596274890613,7.009001796148737,5.124547835765048,6.218879385707905,128016,3139115,30,1,1.6
6.833604539666917,39.78430518276669,0.9920429144143696,874590,21384083,22258673,8.150350712996813,2.9446585607327083,6.803039914854495,5.630128080026318,8.123600153204315,128016,3785832,31,1,1.6
5.790458321616048,40.50367420858748,0.9937748221293846,741998,16397032,17139030,6.275715779668166,3.8242649671539173,5.7764803861377,5.716873390459311,6.248513341040727,128016,2855627,32,1,1.6
6.3044521778527685,40.13433006116163,0.9788818502371646,879052,24615482,25494534,9.335210295978628,2.570911553041134,6.838569849348428,5.6369704904705795,9.3075097242443,128016,4354012,33,1,1.6
6.3368239858689535,40.11208716710555,0.9899231583709368,860089,15251484,16111573,5.8994968158277095,4.068143563635903,6.69581097084448,4.928966010225835,5.842036363566666,128016,3063011,34,1,1.6
6.800831170517748,39.80518367174887,0.987508750890711,997397,18442769,19440166,7.118311627062242,3.37158602452263,7.76181826480253,5.397733812571578,7.08827911208908,128016,3402263,35,1,1.6
6.750894419447569,39.837190449706135,0.9828708629051972,815600,21495904,22311504,8.169695584926885,2.9376859578807415,6.341691661790247,4.828325828661028,8.099829087302972,128016,4413302,36,1,1.6
6.862105127484065,39.766229937032065,0.9926972365678374,872747,27094754,27967501,10.240724670158418,2.343584147900808,6.789518409309525,5.9344421333765744,10.199062845418977,128016,4547109,37,1,1.6
7.062627425478065,39.64114064333124,0.9907373898699386,819218,21772461,22591679,8.272285910550243,2.9012536872536123,6.375818310272537,5.652875670473541,8.249584879992751,128016,3841138,38,1,1.6
6.643718241274528,39.906691550377445,0.9910800452106927,935190,16868487,17803677,6.519086359322272,3.681497479425177,7.275872408513055,5.311699669989957,6.488421608320816,128016,3160665,39,1,1.6
6.171311105643045,40.2270292042364,0.9007783132734909,663394,18984559,19647953,7.194395988587364,3.3359298039851786,5.159593654687745,4.790848194642883,7.134183992006124,128016,3928950,40,1,1.6
7.015024855291526,39.67051146729928,0.9880436746308803,904229,19672502,20576731,7.534482139927822,3.185354952640436,7.036999766231364,5.137769907456033,7.491835078187386,128016,3806985,41,1,1.6
6.767129572670604,39.82675868711749,0.9961658281751954,921343,21392475,22313818,8.170542891122984,2.9373813123330126,7.164788067745688,5.7897045106434675,8.13201246579044,128016,3677456,42,1,1.6
6.144296538128047,40.2460819327074,0.9883897433662118,810887,19303671,20114558,7.365250486267342,3.2585449802078674,6.304991716502167,5.68220641714972,7.336561929792901,128016,3384085,43,1,1.6
0.7530700508139607,49.36244984578301,0.9980787715108907,512014,15013558,15525572,5.684923661886014,4.221692572743858,3.9209625989394317,5.715144962481634,5.655330389614526,128016,2614598,44,1,1.6
6.753855719206974,39.835285821849745,0.9875518741562946,800821,11761710,12562531,4.5999612597253465,5.217435244537905,6.22927069370307,4.730701587138653,4.552820623773125,128016,2459750,45,1,1.6
5.975659170533371,40.366945419029065,0.9888168068135151,592551,14218623,14811174,5.423335999015748,4.425320504640617,4.594922747468062,4.735778973024413,5.381735635788806,128016,2979307,46,1,1.6
6.742245476151418,39.84275800313151,0.9865462669718909,1059641,32533384,33593025,12.300595604260405,1.9511250326518674,8.248028856996708,6.127689603936935,12.223376316125899,128016,5275440,47,1,1.6
7.012525900082802,39.67205882576274,0.9916069855670065,927766,23786233,24713999,9.04940556746813,2.652107900465643,7.216869316443459,5.693411757696953,9.015104070626187,128016,4162082,48,1,1.6
6.638269703591739,39.9102546766092,0.9857774859614034,983361,25456873,26440234,9.68149269427259,2.4789565780696194,7.6555026451301655,5.403289311144388,9.643895403467647,128016,4692980,49,1,1.6
6.9073436132983375,39.73769299874428,0.9921976711786563,924740,23166315,24091055,8.821305173767342,2.720685831317889,7.192001497257287,5.902805863257276,8.790596985542921,128016,3911106,50,1,1.6
6.311152878351144,40.12971660423741,0.9891858284778295,720077,19434050,20154127,7.379739275754593,3.2521474137778332,5.59253123886011,5.423115394584161,7.3463342653162895,128016,3567500,51,1,1.6
7.284652162620297,39.50671541544489,0.9897372316462251,775969,20253277,21029246,7.700177370406824,3.116811320767278,6.034996419002854,5.643649297193098,7.659347863531031,128016,3569528,52,1,1.6
6.2086953486282965,40.20080010678179,0.9889983931290979,670521,13728555,14399076,5.2724400660854895,4.551972084875446,5.204352712341711,5.023248416262736,5.240912783122698,128016,2716715,53,1,1.6
6.806894865680852,39.801313180064106,0.9911523442091678,950095,17206896,18156991,6.648457639084177,3.6098598055151316,7.390924394849548,5.420294169780592,6.61596897812643,128016,3158889,54,1,1.6
7.216046846683227,39.54781016878651,0.992142246337651,921915,25331146,26253061,9.612956461497001,2.4966304691098684,7.1755107542000705,5.279775077160057,9.56466235664711,128016,4773421,55,1,1.6
6.510111162862454,39.9949195647705,0.9879908550916996,862990,20733601,21596591,7.907919346995688,3.0349323187164123,6.714611467143498,5.708656998323828,7.874855876065381,128016,3616738,56,1,1.6
6.8734422113251465,39.7590607519247,0.9811910911608503,887098,16943248,17830346,6.5288516181571055,3.6759910323669547,6.901558136092149,5.061511905956957,6.490057900923661,128016,3327245,57,1,1.6
6.753841804930634,39.83529476918281,0.991584286519159,881644,27772662,28654306,10.492208737579677,2.2874116022911184,6.858105508348663,5.9462309255599015,10.46027721419301,128016,4656589,58,1,1.6
6.9116918246547305,39.73495995088572,0.9928648799345714,972985,23662945,24635930,9.020819419056993,2.6605121868750237,7.5682981425886435,5.697614149687293,8.99572025440797,128016,4141825,59,1,1.6
7.207149887514061,39.553168066670274,0.9907962114437989,934641,23918830,24853471,9.10047535561961,2.637224876959842,7.273340702872102,5.333880118736094,9.062997672753038,128016,4465795,60,1,1.6
6.992814252710598,39.68428368462677,0.9772019560649309,828130,22117850,22945980,8.402018595331834,2.8564564250470017,6.445216758897432,4.890629819724407,8.34646750184245,128016,4492096,61,1,1.6
4.2647839186117364,41.8318332895918,0.9920857316637107,436925,9663447,10100372,3.6984043986689166,6.4892849491088045,3.387574985636827,5.270390961520919,3.6762134117996705,128016,1822655,62,1,1.6
6.461592813593613,40.02740774004786,0.9920272370108587,871133,20640838,21511971,7.87693445057649,3.0468706005600326,6.773922764107835,5.855389286114581,7.850782269578301,128016,3513580,63,1,1.6
6.8058818087192225,39.801959580221286,0.9893498388866256,784421,18217730,19002151,6.957925791502625,3.449303818288782,6.095845432869024,5.6241301943704585,6.9209448524319,128016,3221972,64,1,1.6
6.9995852569210095,39.68008053134626,0.9870650257069981,982286,22414983,23397269,8.567264907316273,2.80136079129577,7.643963453925856,5.398204807538404,8.530233976369274,128016,4134261,65,1,1.6
6.429813460817398,40.04881987339148,0.9897992084039805,868138,16044255,16912393,6.192729204747844,3.875512590087044,6.750417063692453,5.278111457854925,6.159600822378003,128016,3023384,66,1,1.6
5.068244032972441,41.08222843128921,0.9909771865216928,831402,22675643,23507045,8.607461054672854,2.7882786628434157,6.47157937577903,5.912531955457344,8.577476780989024,128016,3821830,67,1,1.6
6.702850254069804,39.868208437802586,0.9860794839149024,883846,21291780,22175626,8.119941794385078,2.955686211518899,6.874089830992993,5.7172749952579816,8.091769665982378,128016,3711330,68,1,1.6
6.790457589285714,39.81181319752984,0.9962683653831919,1001587,27985741,28987328,10.614149793775779,2.2611325886953084,7.7960104206394085,6.086127761810396,10.5592397927953,128016,4574231,69,1,1.6
